ID;Project;URL;Purpose;Size (MB);#Files;#Funcs;Version;Downloads 30d;#Dependencies
P6;pixi.js;https://www.npmjs.com/package/pixi.js;"<p align=""center"">   <a href=""https://pixijs.com"" target=""_blank"" rel=""noopener noreferrer"">     <img height=""150"" src=""https://files.pixijs.download/branding/pixijs-logo-transparent-dark.svg?v=1"" alt=""PixiJS logo"">   </a> </p> <br/> <p align=""center"">   ";60.38;3363;20652;8.14.0;1313935;11
P71;@aws-cdk/region-info;https://www.npmjs.com/package/@aws-cdk/region-info;AWS region information, such as service principal names;5.76;27;72;2.221.1;924334;0
P11;bootstrap-vue;https://www.npmjs.com/package/bootstrap-vue;With more than 85 components, over 45 available plugins, several directives, and 1000+ icons, BootstrapVue provides one of the most comprehensive implementations of the Bootstrap v4 component and grid system available for Vue.js v2.6, complete with extens;46.99;1134;14966;2.23.1;814835;5
P34;quasar;https://www.npmjs.com/package/quasar;Build high-performance VueJS user interfaces (SPA, PWA, SSR, Mobile and Desktop) in record time;10.19;1170;19688;2.18.5;784893;0
P19;ng-zorro-antd;https://www.npmjs.com/package/ng-zorro-antd;An enterprise-class UI components based on Ant Design and Angular;26.38;7502;6246;20.3.1;622734;5
P66;@antv/g6;https://www.npmjs.com/package/@antv/g6;A Graph Visualization Framework in JavaScript;6.90;2064;7058;5.0.50;619400;11
P2;ant-design-vue;https://www.npmjs.com/package/ant-design-vue;An enterprise-class UI design language and Vue-based implementation;74.34;5355;15005;4.2.6;555749;22
P21;foundation-sites;https://www.npmjs.com/package/foundation-sites;The most advanced responsive front-end framework in the world.;23.59;773;10191;6.9.0;414871;0
P75;@primer/css;https://www.npmjs.com/package/@primer/css;The CSS implementation of GitHub's Primer Design System;5.58;276;0;22.0.2;335431;0
P13;@tailwindcss/postcss7-compat;https://www.npmjs.com/package/@tailwindcss/postcss7-compat;A utility-first CSS framework for rapidly building custom user interfaces.;34.41;265;1372;2.2.17;328072;35
P72;vant;https://www.npmjs.com/package/vant;Mobile UI Components built on Vue;5.72;2173;14483;4.9.21;229439;3
P9;ccxt;https://www.npmjs.com/package/ccxt;A cryptocurrency trading API with more than 100 exchanges in JavaScript / TypeScript / Python / C# / PHP / Go;47.86;1531;24024;4.5.14;223488;1
P39;admin-lte;https://www.npmjs.com/package/admin-lte;Responsive open source admin dashboard and control panel.;9.41;137;347;4.0.0-rc3;210865;0
P82;@aws-cdk/aws-apigateway;https://www.npmjs.com/package/@aws-cdk/aws-apigateway;The CDK Construct Library for AWS::ApiGateway;4.96;87;809;1.204.0;203746;14
P87;@aws-cdk/aws-cloudfront;https://www.npmjs.com/package/@aws-cdk/aws-cloudfront;The CDK Construct Library for AWS::CloudFront;4.37;45;392;1.204.0;191382;11
P32;moralis;https://www.npmjs.com/package/moralis;Moralis SDK for JavaScript and TypeScript;11.22;36;5833;2.27.2;146562;13
P3;@withfig/autocomplete;https://www.npmjs.com/package/@withfig/autocomplete;Fig Autocomplete Specs;73.22;1541;16304;2.692.3;42632;5
P91;@oroinc/bootstrap;https://www.npmjs.com/package/@oroinc/bootstrap;The most popular front-end framework for developing responsive, mobile first projects on the web.;4.17;152;2180;4.3.1-oro2;10845;0
;;;;;;;;;
